model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,base_estimator_max_depth,learning_rate,n_estimators,profit
AdaBoost,TSLA,standard,True,30,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,31,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,32,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,33,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,34,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,35,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,36,0.6046511627906976,0.5641025641025641,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,1257.1970214843732
AdaBoost,TSLA,standard,True,37,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,38,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,39,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,40,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,41,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,42,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,43,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
